SMILES,Tm
CCCCCCCCCCCCCCCCC=C,289.15
CCCCCCCCCCCCCCCCCCO,331.15
CCCCCCCCCCCCCCCCCCS,305.15
CCCCCCCCCCCCCCCCCCS(=O)(=O)Cl,331.15
CC(=O)O[C@@H]1[C@H]([C@H]([C@@H](O1)COC(=O)c2ccccc2)OC(=O)c3ccccc3)OC(=O)c4ccccc4,402.15
CCCCCCCC#C,223.15
CCCCCCCCCO,266.15
c1ccc2c(c1)cccc2[N+](=O)[O-],330.15
CCCCCCn1c(=O)c2c(ncn2C)n(c1=O)C,354.15
CCCCc1ccc(cc1)C#Cc2ccc(cc2)OC,313.15
CCCCc1ccc(cc1)C#Cc2ccc(cc2)OCC,327.15
c1ccc2c(c1)cccc2CC#N,307.15
c1ccc2c(c1)cccc2CC(=O)N,450.15
c1ccc2c(c1)cccc2N=C=S,329.15
CC(=O)Oc1cccc2c1cccc2,318.15
c1ccc2c(c1)cccc2C(=O)Cl,291.15
c1ccc2c(c1)cccc2C(=O)O,434.15
c1ccc2c(c1)cccc2CO,334.15
B(c1cccc2c1cccc2)(O)O,480.15
c1ccc2c(c1)cccc2CC(=O)NN,441.15
CN/C(=C[N+](=O)[O-])/SC,386.15
CS(=O)(=O)n1c2ccccc2nn1,383.15
CN1CCCC1,183.15
Cn1cccc1,216.15
CN1CCNCC1,267.15
Cc1cccc2c1cccc2,251.15
Cn1cc(c2c1cccc2)C=O,342.15
Cn1cncc1C=O,328.15
Cn1cc(nc1)C(=O)O,515.15
Cn1cnc(c1C#N)C#N,358.15
Cn1ccnc1,267.15
CN1CC(=O)NC1=O,431.15
Cc1cccc-2c1Cc3c2cccc3,358.15
CC1=CCCC1,131.14999999999998
CC1(CCCC1)O,310.15
CC1(CCCCC1)O,299.15
CC1(CCCCC1)C(=O)O,311.15
Cn1c2ccccc2nc1C=O,393.15
Cn1cnc2c1cccc2,334.15
Cn1c2cc(ccc2cn1)[N+](=O)[O-],399.15
Cn1c2ccc(cc2cn1)[N+](=O)[O-],433.15
CN1CCN(CC1)C2CCNCC2,328.15
CN1C(=O)CC(=N1)C(F)(F)F,452.15
CN1CCNC(C1)c2ccccc2,331.15
CCCC1=NN(C(=O)C1)C,388.15
Cn1c2ccccc2ccc1=O,348.15
CN1CCCC1=O,249.15
Cn1ccccc1=O,304.15
Cn1c2ccccc2cc1c3ccccc3,372.15
Cn1c(ccn1)C(=O)O,497.15
Cn1ccc(n1)C(=O)O,427.15
Cn1c2ccccc2nn1,338.15
COc1cccc2c1cccc2,278.15
CC(COC)O,173.14999999999998
CCCI,172.14999999999998
CCCCCI,187.15
CCCCCCCCI,227.15
c1ccc2c(c1)cccc2I,277.15
CCCCCCI,198.15
CCCCCCCCCCCCCCCCI,295.15
CCCCCCCI,225.15
CCCCCCCCCCCCI,270.15
CCCCCCCCCCI,257.15
CCCCI,170.14999999999998
c1cc(ccc1[N+](=O)[O-])I,448.15
c1cc(cc(c1)I)[N+](=O)[O-],310.15
c1c(cc(cc1[N+](=O)[O-])I)[N+](=O)[O-],374.15
c1ccc(c(c1)[N+](=O)[O-])I,323.15
CC(C)CI,180.15
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])I,362.15
Cc1cc(c(c(c1C)C)C)I,304.15
c1ccc2c(c1)CCC2=O,313.15
c1ccc2c(c1)CCC2O,325.15
CC1(C(=O)NC(=O)N1CO)C,378.15
c1ccc2c(c1)ccnc2O,487.15
c1ccc(cc1)C(=O)C2(CCCCC2)O,321.15
c1c(cn[nH]1)C(=O)O,555.15
c1c[nH]nc1,341.15
c1ccc2c(c1)CC=C2,271.15
c1ccc2c(c1)cn[nH]2,421.15
CCCCC#C,141.14999999999998
CCCCCCN,254.15
CCCCC=C,133.14999999999998
CCCCCCO,221.15
CCCCCCS,192.15
CCCCCCCCCCCCCCC#C,288.15
CCCCCCCCCCCCCCC=C,277.15
CCCCCCCCCCCCCCCCO,322.15
CCCCCCCCCCCCCCCCS,294.15
CCCCCCCCCCCCCCCCS(=O)(=O)Cl,330.15
CCCCCC#C,192.15
CCCCCCCN,250.15
CCCCCC=C,154.14999999999998
CCCCCCCO,239.15
CCCCCCCS,230.15
CCCCCCCCCCCCCCCCCO,327.15
c1ccc2c(c1)[nH]nn2,371.15
c1ncn(n1)CC(=O)O,476.15
c1cnn[nH]1,297.15
C1CCN(CC1)C=O,242.15
c1cc(ccc1[N+](=O)[O-])F,296.15
c1ccc2c(c1)cccc2F,263.15
c1cc(ccc1F)I,253.15
c1cc(cc(c1)F)[N+](=O)[O-],275.15
c1cc(cc(c1)I)F,231.15
c1c(cc(cc1F)I)[N+](=O)[O-],351.15
Cc1cc(c(c(c1)F)[N+](=O)[O-])C,329.15
c1ccc(c(c1)[N+](=O)[O-])F,265.15
c1ccc(c(c1)F)I,231.15
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])F,300.15
C#Cc1ccc2ccc3cccc4c3c2c1cc4,387.15
C#CC1(CCCC1)O,298.15
C#CC1(CCCCC1)O,305.15
CCN1CCCCC1,253.15
CCN1CCNC(=O)C1=O,383.15
CCCc1ccc(cc1)C#Cc2ccc(cc2)CC,323.15
CCc1ccc(cc1)C#Cc2ccc(cc2)C,346.15
CCc1ccc(cc1)I,256.15
CCCCCCc1ccc(cc1)C#Cc2ccc(cc2)CC,283.15
CCc1ccc(cc1)C#Cc2ccc(cc2)OC,308.15
CCn1c(cc(n1)C)C(=O)O,412.15
CCn1c2ccccc2cc1c3ccccc3,359.15
CCOCC(C)O,173.14999999999998
CCCCCCCCCCCCCCCCCCCCO,337.15
CCCCCCCCCCC#C,254.15
CCCCCCCCCCC=C,236.15
CCCCCCCCCCCCO,299.15
CCCCCCCCCCCCS,266.15
CCCCCCCCCCCCS(=O)(=O)Cl,314.15
CC(CN(C)C)O,188.15
c1cc(ccc1[N+](=O)[O-])OC(F)F,307.15
CN(C)/C=C/[N+](=O)[O-],376.15
CCCCCCCCC#C,229.15
CCCCCCCCC=C,207.15
CCCCCCCCCCO,279.15
CCCCCCCCCCS,247.15
CC(C)(C)C(C1CCCC1)O,322.15
CCCCCCCCCCS(=O)(=O)Cl,305.15
C1CC=C(C1)C(=O)O,392.15
C1CCC(CC1)N2CCCC2=O,286.15
C1CCC(=CC1)C(=O)O,305.15
C1CCC(=CC1)CC(=O)O,306.15
C1CCN(CC1)CC#N,298.15
Cc1cc(n(n1)C(=O)CC#N)C,393.15
C1CC1(C#N)C(=O)O,419.15
c1ccc2c(c1)cnnc2Cl,384.15
c1ccc2c(c1)c(=O)[nH]nc2Cl,545.15
CCCCCCl,174.14999999999998
CCCCCCCCCl,215.15
c1ccc2c(c1)cccc2Cl,265.15
c1ccc2c(c1)ccnc2Cl,307.15
CCCCCCCl,179.14999999999998
CCCCCCCCCCCCCCCCCl,282.15
CC(OC(=O)Cl)Cl,208.15
CCCCCl,150.14999999999998
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)Cl,433.15
C1C2CC3CC1CC(C2)(C3)Cl,438.15
C1CN(NC1=O)C(=O)CCl,419.15
c1cc(ccc1[N+](=O)[O-])Cl,357.15
c1cc(ccc1Cl)I,328.15
c1cc(ccc1F)Cl,251.15
c1cc(c(cc1F)[N+](=O)[O-])Cl,311.15
CC(C)CCCl,169.14999999999998
c1cc(cc(c1)Cl)[N+](=O)[O-],318.15
COc1cc(cc(c1)Cl)OC,307.15
c1c(cc(cc1Br)Br)Cl,366.15
c1cc(c(cc1Cl)[N+](=O)[O-])[N+](=O)[O-],296.15
c1ccc(c(c1)[N+](=O)[O-])Cl,306.15
CC(C)CCl,142.14999999999998
c1ccc(c(c1)Cl)I,274.15
c1ccc(c(c1)F)Cl,230.15
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])Cl,323.15
c1cc(c(cc1F)F)Cl,247.15
c1cc(c(c(c1F)[N+](=O)[O-])F)Cl,320.15
c1cc(c(cc1C(F)(F)F)C(F)(F)F)Cl,214.15
CCCCO,183.15
CCCCS,157.14999999999998
CCCCCCCCCCCBr,264.15
CCCCS(=O)(=O)Cl,244.15
CCCCCCCCCCCCCCBr,278.15
c1cc2ccc3ccc(c4c3c2c(c1)cc4)Br,368.15
C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,279.15
CCCBr,163.14999999999998
CCCCCBr,178.14999999999998
CCCCCCCCCCCCCCCBr,292.15
CCCCCCCCBr,218.15
CCCCCCCCCCCCCCCCCCBr,301.15
c1ccc2c(c1)cccc2Br,272.15
CCCCCCBr,188.15
CCCCCCCBr,215.15
CCCCCCCCCCCCCCCCBr,290.15
CCCCCCCCCCCCBr,263.15
CCCCCCCCCCBr,243.15
CCCCBr,161.14999999999998
C1C2CC3CC1CC(C2)(C3)Br,392.15
CC(C)(C)c1ccc(cc1)Br,289.15
c1cc(ccc1[N+](=O)[O-])Br,399.15
CC(C)c1ccc(cc1)Br,261.15
c1cc(ccc1Br)I,364.15
c1ccc2c(c1)c(ccc2Br)F,308.15
c1cc(ccc1F)Br,257.15
c1cc(c(cc1F)[N+](=O)[O-])Br,311.15
c1cc(ccc1Cl)Br,338.15
c1cc(c(cc1Cl)[N+](=O)[O-])Br,343.15
c1ccc(cc1)OCCCBr,283.15
CC(C)CCBr,161.14999999999998
c1cc(cc(c1)I)Br,264.15
c1cc(cc(c1)Br)F,265.15
C(CCl)CBr,214.15
c1cc(cc(c1)Br)Cl,251.15
CC(C)(C)c1cc(cc(c1)Br)C(C)(C)C,337.15
c1c(cc(cc1F)Br)F,246.15
c1c(cc(cc1Cl)Br)Cl,348.15
c1c(cc(cc1C(F)(F)F)Br)C(F)(F)F,257.15
c1ccc(cc1)C(CCBr)c2ccccc2,314.15
c1ccc(c(c1)[N+](=O)[O-])Br,315.15
c1ccc2c(c1)ccc(c2Br)O,352.15
CC(C)CBr,155.14999999999998
COc1ccc2ccccc2c1Br,353.15
c1ccc(c(c1)Br)I,283.15
CCCCCCCCCCCCCCC(=O)CBr,329.15
c1ccc(c(c1)F)Br,265.15
c1cc(c(cc1I)F)Br,309.15
CCc1ccccc1Br,205.15
C(CBr)Cl,255.15
c1ccc(c(c1)Cl)Br,260.15
c1cc(c(cc1[N+](=O)[O-])Cl)Br,334.15
c1c(c(cc(c1F)Br)F)[N+](=O)[O-],329.15
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])Br,345.15
COc1ccc(c(c1)OC)Br,298.15
c1cc(c(cc1F)F)Br,269.15
c1cc(c(cc1Cl)Cl)Br,300.15
c1c(c(cc(c1F)Br)F)F,254.15
c1cc(c(c(c1)Br)Cl)Cl,331.15
c1c(cc(c(c1Cl)Cl)Br)Cl,332.15
Cc1cc(c(c(c1C)Br)C)C,333.15
CC(C)(C)OC(=O)n1cccc1C=O,324.15
CC(C)(C)OC(=O)N1CCNCC1,319.15
CCOC(=O)C1CCCN(C1)C(=O)OC(C)(C)C,306.15
CC(C)(C)OC(=O)N1CCC(CC1)C(=O)O,423.15
CC(C)(C)OC(=O)N1CCc2c1cccc2,320.15
CC(C)(C)OC(=O)n1ccnc1,319.15
CC(C)(C)OC(=O)N1CC(C1)C(=O)O,375.15
CC(C)(C)OC(=O)n1c2cc(ccc2cn1)N,445.15
CC(C)(C)OC(=O)N1CCC(=O)CC1,347.15
CC(C)(C)OC(=O)N1CCC(CC1)CO,353.15
CC(C)(C)OC(=O)N1CCC(CC1)O,336.15
CC(C)(C)OC(=O)N1CCC(CC1)C#N,320.15
CC(C)(C)OC(=O)N1CCC(=O)C1,309.15
CC(C)(C)OC(=O)N1CCCC(=O)C1,311.15
CC(C)(C)OC(=O)N1CCNC(=O)C1,431.15
CC(C)(C)OC(=O)N1CCCC(C1)O,341.15
CC(C)(C)OC(=O)N1CC(C1)O,313.15
CC(C)(C)OC(=O)N1CC(C1)C#N,343.15
CC(C)(C)OC(=O)N1CC(=O)C1,324.15
CC(C)(C)OC(=O)N1CCCCC1=O,309.15
CC(C)(C)OC(=O)n1cccc1[Si](C)(C)O,328.15
c1ccc(cc1)COC(=O)N2CCC(=O)CC2,313.15
c1ccc(cc1)COc2ccc(cc2)Br,335.15
c1ccc(cc1)COc2ccc(cc2)I,335.15
c1ccc(cc1)COc2cccc(c2)I,324.15
c1ccc(cc1)Cn2ccnc2,344.15
c1ccc(cc1)CN2C(=O)C(C(=O)NC2=O)c3ccccc3,437.15
c1ccc(cc1)CN2CCC(CC2)O,335.15
c1ccc(cc1)CN2CCC(CC2)(C#N)O,370.15
CC(C)(C)OC(=O)N1CCN(CC1)Cc2ccccc2,345.15
c1ccc(cc1)Cn2c3ccccc3c(n2)O,438.15
c1ccc(cc1)CN2CCNCCNCCNCC2,358.15
c1ccc(cc1)Cn2c(c(nn2)C(=O)O)C(=O)O,453.15
c1ccc(cc1)C(=O)N2CCCCC2,322.15
c1ccc(cc1)C(=O)c2cccc3c2cccc3,349.15
c1ccc(cc1)C(=O)N2CCC(=O)CC2,328.15
c1ccc(cc1)C(c2ccccc2)N3CCNCC3,365.15
C1COCCOCCOCCOCCOCCN1,321.15
c1cc2ccc3ccc(c4c3c2c(c1)cc4)N,391.15
c1ccc2c(c1)CCC2N,275.15
c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,527.15
c1cc2c(c(c1)N)C(=O)c3cccc(c3C2=O)Cl,480.15
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N,481.15
c1ccc2c(c1)C(=O)c3c(cc(c(c3C2=O)N)Br)Br,500.15
C1C2CC3CC1CC(C2)(C3)CO,390.15
C1C2CC3CC1CC(C2)(C3)CCO,347.15
C1C2CC3CC1CC(C2)(C3)CC(=O)O,410.15
CC(=O)c1ccc2ccc3cccc4c3c2c1cc4,361.15
CC(=O)N1CCC(CC1)C(=O)O,455.15
CC(=O)N1CCC(CC1)C(=O)Cl,405.15
CC(=O)N1CCNCC1,305.15
CC(=O)c1cccc2c1cccc2,283.15
CC(=O)N1c2ccccc2C(=O)C1=O,415.15
CC(=O)n1ccnc1,374.15
CC(=O)N1CCc2c1ccc(c2)[N+](=O)[O-],450.15
CC(=O)N1CCc2c1ccc(c2)Br,393.15
CC(=O)N1CCc2c1c(cc(c2)Br)[N+](=O)[O-],470.15
CC(=O)N1CCN(CC1)c2ccc(cc2)O,456.15
CC(=O)NNC(=S)N,440.15
CC(=O)c1c2ccccc2ccc1O,338.15
CC(=O)NC12CC3CC(C1)CC(C3)C2,421.15
CCCCCCCCCCCCCCCCCC(=O)CCCCCCCCCCCCCCCCC,360.15
C1COCCOCCOCCOCCOCCO1,312.15
C(CCCCCCCC(=O)O)CCCCCCCO,372.15
C(CCCCCCCO)CCCCCCC(=O)O,359.15
CCCCCCCCCCCCCC(=O)CCCCCCCCCCCCC,351.15
CCCCCCCCCCCC(=O)CCCCCCCCCCC,340.15
CCCCCCC(CCCCCCCCCCC(=O)O)O,348.15
C(CCCCCC(=O)O)CCCCCN,459.15
CCCCCCCCCCC(CCCCCCCCCC)O,345.15
C#CCCCCCCCCC(=O)O,315.15
C=CCCCCCCCCC(=O)O,297.15
C=CCCCCCCCCCO,270.15
c1ccc(cc1)CCCCCCCCCCO,309.15
CN1c2ccccc2Sc3c1cccc3,375.15
c1cc2ccc3cccnc3c2c(c1)O,377.15
CCCCCCCCCCC#CC#CCCCCCCCCC(=O)O,330.15
CCCCCCCCCCCCC#CC#CCCCCCCCCC(=O)O,337.15
C(CCCCC(=O)O)CCCC#CC#CCCCCCCCCC(=O)O,384.15
c1ccc2c(c1)CCc3ccccc3N2C(=O)N,478.15
c1ccn(c1)c2cc(cc(c2)C(F)(F)F)C(F)(F)F,315.15
CC(c1cc(cc(c1)C(F)(F)F)C(F)(F)F)O,345.15
C(CCCCO)CCCCO,320.15
c1ccc(cc1)/C=C/C=C/C(=O)/C=C/C=C/c2ccccc2,415.15
C(CCCCN)CCCCN,311.15
C(CCCCO)CCCO,333.15
C#CCCCCCC#C,252.15
c1cc2cccc3c2c(c1)C(=O)NC3=O,574.15
c1cc2cccc3c2c(c1)C(=O)OC3=O,544.15
C(CCCCCl)CCCCl,265.15
c1cc2c(c(c1)Cl)C(=O)c3c(cccc3Cl)C2=O,475.15
C(CCCCBr)CCCBr,289.15
c1ccc(cc1)CN2CCCNCCN(CCCNCC2)Cc3ccccc3,341.15
C1CCC2=NCCCN2CC1,203.15
C(CCCCN)CCCN,325.15
c1cc2cccc(c2c(c1)N)N,336.15
CC1(C2CCC(O1)(CC2)C)C,274.15
CN(C)c1cccc2c1c(ccc2)N(C)C,322.15
c1cc2c(c(c1)O)C(=O)c3c(cccc3O)C2,452.15
c1cc2ccc3c(c2nc1)cccn3,352.15
C(CCCO)CCCO,291.15
c1cc2ccc(cc2c(c1)O)O,455.15
C(CCCN)CCCN,301.15
C(CCCS)CCS,252.15
C(CCCO)CCO,315.15
c1ccc(cc1)OCC#CC#CCOc2ccccc2,355.15
COc1ccc2c(c1)cccc2OC,332.15
C(CCCN=C=O)CCN=C=O,206.15
c1cc2cc(ccc2c(c1)O)O,411.15
C(CCCC#N)CCC#N,270.15
C(CCCCl)CCCl,260.15
c1cc2c(cc1Br)cc(c(c2Br)O)C(=O)O,524.15
C(CCCBr)CCBr,271.15
C(CCCN)CCN,314.15
C1[C@@H]2[C@H]([C@@H]([C@H]([C@H](O1)O2)O)O)O,455.15
C(CCS)CCS,201.15
C(CCO)CCO,257.15
C1CCc2nnnn2CC1,333.15
C=CCCC=C,132.14999999999998
c1cc2c(cccc2[N+](=O)[O-])c(c1)[N+](=O)[O-],489.15
Cc1cccc2c1cccc2C,353.15
C(CCCl)CCCl,201.15
c1c(c(cc(c1[N+](=O)[O-])F)F)[N+](=O)[O-],347.15
c1cc2c(c(c1)Cl)C(=O)c3cccc(c3C2=O)Cl,520.15
c1c(c(cc(c1[N+](=O)[O-])Cl)Cl)[N+](=O)[O-],374.15
C(CCBr)CCBr,239.15
C(CCN)CCN,282.15
c1cc2c(cccc2N)c(c1)N,464.15
c1ccc(cc1)P(CCCCCP(c2ccccc2)c3ccccc3)c4ccccc4,320.15
CC1(C(=O)NC(=O)N1C)C,436.15
C1CN(CCN1CCC#N)CCC#N,338.15
c1cc(ccc1CC#N)CC#N,369.15
c1cc(ccc1CC(=O)O)CC(=O)O,527.15
c1cc(ccc1N=C=S)N=C=S,404.15
C1COCCNC1=O,354.15
C1CS(=O)(=O)CCO1,405.15
c1ccc2c(c1)C(=O)C=CC2=O,395.15
C([C@H]([C@H](CS)O)O)S,356.15
C([C@H]([C@@H](CS)O)O)S,315.15
CC(C)(C)c1ccc(cc1)C(C)(C)C,350.15
CCC(=O)Oc1ccc(cc1)OC(=O)CC,386.15
c1ccc(cc1)C#CC#Cc2ccccc2,360.15
c1ccc(cc1)CCCC(=O)c2ccccc2,328.15
c1ccc(cc1)Oc2ccc(cc2)Oc3ccccc3,346.15
C1C(=O)OCC(=O)O1,355.15
C1COC(C(O1)O)O,374.15
C1COCCO1,285.15
Cc1ccc(cc1)S(=O)(=O)OC[C@H]2[C@@H](OC(O2)(C)C)COS(=O)(=O)c3ccc(cc3)C,363.15
c1cc(ccc1[N+](=O)[O-])[N+](=O)[O-],447.15
CN1CCN(CC1)C,272.15
COc1ccc(c2c1cccc2)OC,358.15
COc1ccc(cc1)OC,329.15
COc1ccc(c(c1)F)OC,298.15
CC(C)c1ccc(cc1)C(C)C,256.15
C(CCI)CI,279.15
c1cc(ccc1I)I,403.15
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)O,470.15
C1CN(CCN1C=O)C=O,401.15
c1cc(c(cc1F)[N+](=O)[O-])F,261.15
c1cc(ccc1F)F,260.15
COc1cc(c(cc1F)OC)F,394.15
CCc1ccc(cc1)CC,230.15
CCOc1ccc(cc1)OCC,343.15
c1cc(ccc1C2CCCCC2)C3CCCCC3,377.15
C(CCCl)CCl,235.15
c1cc(ccc1Cl)Cl,327.15
c1cc(c(cc1Cl)[N+](=O)[O-])Cl,328.15
C1CC2CCC1c3c2c(nnc3Cl)Cl,483.15
c1cc(c(cc1Cl)I)Cl,294.15
c1cc(c(cc1Cl)F)Cl,277.15
CC(CCCBr)Br,239.15
c1ccc2c(c1)c(ccc2Br)Br,354.15
C(CCBr)CBr,253.15
c1cc(ccc1Br)Br,361.15
c1cc(c(cc1Br)[N+](=O)[O-])Br,357.15
c1cc(c(cc1Br)F)Br,307.15
c1c(c(cc(c1Br)F)Br)F,335.15
COc1cc(c(cc1Br)OC)Br,419.15
C(C(=O)C(=O)CBr)Br,391.15
c1ccc(cc1)COc2ccc(cc2)OCc3ccccc3,400.15
c1ccc(cc1)C(=O)c2ccc(cc2)C(=O)c3ccccc3,436.15
C1CN2CCN1CC2,431.15
C(CCN)CN,300.15
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,536.15
C=CC(=O)N1CCN(CC1)C(=O)C=C,366.15
CC(=O)OCCCCOC(=O)C,286.15
CC(=O)Oc1ccc(cc1)OC(=O)C,394.15
CC(=O)OCC#CCOC(=O)C,301.15
C1CC(=O)CCC1=O,351.15
C1C=CCC=C1,224.15
C(CCO)CO,293.15
C[Si](C)(C)C#Cc1ccc(cc1)C#C[Si](C)(C)C,393.15
C[Si](C)(C)C#CC#C[Si](C)(C)C,385.15
c1cc(ccc1C(F)(F)F)C(F)(F)F,272.15
c1ccc(cc1)C#Cc2ccc(cc2)C#Cc3ccccc3,450.15
c1cc(ccc1OCC2CO2)OCC3CO3,384.15
c1ccc(cc1)P(CCCCP(c2ccccc2)c3ccccc3)c4ccccc4,407.15
c1ccc(cc1)c2cnc(o2)c3ccc(cc3)c4ncc(o4)c5ccccc5,515.15
Cc1c(oc(n1)c2ccc(cc2)c3nc(c(o3)c4ccccc4)C)c5ccccc5,507.15
C1CN(CCN1CCCN)CCCN,287.15
c1ccc(cc1)CCc2ccc(cc2)CCc3ccccc3,362.15
Cc1c(cccc1)/C=C/c2ccc(cc2)/C=C/c3c(cccc3)C,455.15
CC(CO)c1ccc(cc1)C(C)CO,417.15
c1cc(ccc1OCC(F)(F)F)OCC(F)(F)F,349.15
C1CCC(CC1)(C#CC#CC2(CCCCC2)O)O,448.15
C1CCN(CC1)C2CCNCC2,341.15
c1cc2c(cc1S(=O)(=O)Cl)OCCO2,339.15
c1cc2c(cc1C=O)OCCO2,323.15
c1ccc2c(c1)OCC(O2)C(=S)N,447.15
c1ccc2c(c1)OCC(O2)C(=O)O,397.15
c1cc2c(cc1N)OCCO2,301.15
c1cc(ccc1S)S,370.15
c1cc(ccc1CO)CO,392.15
CC(C)(C)OC(=O)N1CCCNCCN(CCCN(CC1)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,324.15
CN1CCCN(CCN(CCCN(CC1)C)C)C,308.15
CCOC(=O)CN1CCCN(CCN(CCCN(CC1)CC(=O)OCC)CC(=O)OCC)CC(=O)OCC,361.15
C1CN2CCN3CCCN(C3)CCN(C1)C2,357.15
C1CNCCNCCCNCCNC1,459.15
Cc1ccc(c2c1cc(c(c2)C)C)C,337.15
C1CC(=O)NN=C1C(=O)O,470.15
C1CSCCSCCNCCSCCSCCN1,403.15
C1COS(=O)(=O)C1,305.15
C(CS)CS,194.15
Cc1ccc(cc1)S(=O)(=O)OCCCOS(=O)(=O)c2ccc(cc2)C,364.15
C(CO)CO,247.15
c1cc(cc(c1)CC#N)CC#N,307.15
c1cc(cc(c1)CC(=O)O)CC(=O)O,448.15
c1cc(cc(c1)N=C=O)N=C=O,321.15
C1CSCSC1,327.15
